,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,8,7,4,7,8,0,0,4,1,10,2,0,2,6,7,3,7,2,4,3,2,1,2,1,4,2,2,8,0,0,6,9,5,3,3,14,2,7,8,6
strawberry_green,10,20,13,32,27,21,13,6,23,31,17,28,16,20,16,28,14,16,21,28,5,15,6,11,10,12,22,21,5,8,15,12,11,12,28,26,29,21,37,24
strawberry_white,2,6,4,2,7,2,1,1,6,2,9,17,6,10,13,12,7,0,7,5,1,4,2,8,3,9,11,3,0,1,12,9,13,8,1,5,9,7,5,8
strawberry_pink,3,2,3,2,3,2,0,0,0,4,6,4,2,6,2,4,0,5,6,2,2,3,3,8,1,1,1,2,0,0,7,4,2,2,3,4,3,8,1,0
strawberry_red,14,23,11,17,15,25,8,11,17,35,23,34,13,18,33,23,15,16,29,18,4,6,9,19,10,18,18,3,11,12,8,14,10,1,13,6,27,25,10,19
Yield (g),264,431,209,188,294,237,236,228,343,507,707,651,285,303,589,216,472,391,454,348,125,484,400,562,477,375,558,139,238,365,298,506,225,357,441,511,1077,435,328,537
Area,1239286,1807223,1194247,1572563,1940381,1083034,1499466,1070029,1558647,2530524,1623170,2167097,2203760,2352861,2719036,2080235,1659358,1513613,2044372,1728360,926988,1956851,2024804,2278131,2597414,1377206,2263521,1179530,1252469,1204885,2430133,2033147,2021185,2200407,2093650,1629604,2342651,2184883,1448359,2093730
Depth,1465912,2260070,1398211,1900448,2391068,1382474,1867014,1329449,1972081,3376876,1855041,2646976,2655929,2922467,3404144,2716254,2123483,1964001,2777053,2361554,1073421,2285724,2410573,2790279,3267544,1668066,2733312,1416861,1551997,1604842,2904089,2326030,2345384,2708827,2503342,1998699,3003407,2725622,1802954,2614577
Volume,1465912,2260070,1398211,1900448,2391068,1382474,1867014,1329449,1972081,3376876,1855041,2646976,2655929,2922467,3404144,2716254,2123483,1964001,2777053,2361554,1073421,2285724,2410573,2790279,3267544,1668066,2733312,1416861,1551997,1604842,2904089,2326030,2345384,2708827,2503342,1998699,3003407,2725622,1802954,2614577
