Counting,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
FL,11,21,10,17,16,13,9,8,14,26,12,19,27,18,28,25,16,18,19,18,25,34,22,22,11,23,27,14,13,20,19,39,36,41,33,26,36,35,14,31
G,27,18,16,19,40,18,41,23,26,44,13,26,18,19,35,22,23,17,22,16,48,60,28,51,12,37,37,31,16,34,29,48,32,44,32,45,70,53,35,49
W,2,7,5,1,3,4,11,5,2,2,4,6,7,6,1,5,6,2,4,4,13,3,6,8,3,7,10,4,2,2,4,2,6,7,5,5,2,3,0,2
P,8,4,2,0,1,0,3,2,2,1,1,0,2,2,2,1,1,2,2,2,9,8,3,8,5,10,7,4,5,11,7,5,11,4,3,1,4,3,3,3
R,9,12,9,5,9,2,11,9,3,2,5,15,7,19,6,5,7,18,5,7,12,12,11,8,8,9,3,9,12,2,7,21,5,11,7,0,12,7,3,9
Yield (g),84,168,92,48,111,6,97,123,69,47,43,312,144,218,108,78,114,243,48,113,92,148,223,156,124,120,11,87,106,5,47,86,112,164,113,0,138,45,7,154
