Counting,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
FL,15,27,14,32,25,7,10,8,16,22,13,15,17,18,16,33,19,10,11,19,22,34,20,20,43,28,44,14,26,24,25,38,42,44,25,34,44,22,23,25
G,21,31,30,38,45,26,15,21,24,25,24,14,17,7,11,10,11,14,13,12,7,65,29,38,18,57,65,42,30,48,38,79,69,64,62,67,93,68,65,59
W,17,18,5,10,19,2,11,4,7,10,4,10,4,8,11,9,14,9,5,5,16,1,6,82,55,6,0,5,2,9,0,0,2,17,7,1,5,1,0,0
P,3,4,4,2,8,0,0,4,1,4,3,7,3,4,3,3,3,1,6,2,1,2,2,3,8,3,3,3,1,2,4,2,1,2,3,2,2,4,3,2
R,8,7,5,2,3,2,13,1,5,0,4,4,4,9,6,3,4,4,2,8,5,13,0,9,10,7,12,5,4,6,9,4,17,4,2,1,4,4,1,11
Yield (g),103,149,66,27,32,65,223,84,138,27,89,177,143,149,200,78,116,111,65,69,44,282,27,162,187,97,194,63,38,49,113,36,250,100,21,0,60,54,35,117
