,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,2,8,1,8,,6,5,7,19,6,7,15,10,9,7,12,13,7,3,9,2,6,3,2,1,4,8,2,1,0,3,5,9,4,2,3,9,1,2,5
strawberry_green,31,19,23,26,,19,15,16,24,15,26,36,21,18,31,38,17,20,20,11,8,10,14,10,12,19,18,8,6,11,25,18,31,22,14,32,31,17,17,22
strawberry_white,13,2,6,7,,2,4,2,5,10,3,12,6,3,8,5,6,6,6,9,1,4,1,5,10,11,9,4,3,6,5,7,2,1,3,4,10,4,2,2
strawberry_pink,7,1,1,3,,0,0,3,1,0,1,1,2,3,6,2,0,0,2,0,0,1,0,0,4,1,1,2,0,3,0,1,1,0,1,0,0,0,2,1
strawberry_red,4,2,12,11,,4,19,3,14,0,5,9,6,5,7,4,3,3,6,1,3,3,0,3,8,2,8,2,4,3,10,4,7,6,1,3,2,0,2,9
Yield (g),103,149,66,27,32,65,223,84,138,27,89,177,143,149,200,78,116,111,65,69,44,282,27,162,187,97,194,63,38,49,113,36,250,100,21,0,60,54,35,117
Area,1598939,1912826,1468714,2037911,,962967,2126202,1389806,1841009,1436915,1179211,2717522,2050732,1892827,2271147,2036892,1964789,1686819,1307714,1193338,1084519,2469226,2066473,2421671,2148935,1646653,1610671,1288030,1038430,1320506,1879005,1662087,2465573,2666965,1876868,1919279,1989489,2289336,1251767,2593845
Depth,2076444,2472454,1885551,2681639,,1207906,2685135,1738349,2331360,1904293,1524401,3588226,2707623,2464683,3069001,2716446,2572204,2229063,1714193,1565388,1357397,3233716,2656230,3276347,2842705,1969743,1980548,1597450,1307607,1661987,2478055,2135373,3124464,3521699,2413242,2478581,2572175,3013968,1621149,3293639
Volume,2076444,2472454,1885551,2681639,,1207906,2685135,1738349,2331360,1904293,1524401,3588226,2707623,2464683,3069001,2716446,2572204,2229063,1714193,1565388,1357397,3233716,2656230,3276347,2842705,1969743,1980548,1597450,1307607,1661987,2478055,2135373,3124464,3521699,2413242,2478581,2572175,3013968,1621149,3293639
