,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,7,6,1,3,13,3,8,4,3,3,6,17,13,16,20,1,10,1,5,1,2,6,5,6,4,0,0,1,0,0,12,4,2,3,,0,5,3,5,0
strawberry_green,23,26,29,46,34,44,23,40,34,48,18,39,18,20,29,31,21,23,39,47,33,18,21,17,26,39,27,49,23,27,49,41,49,29,,88,67,76,87,35
strawberry_white,5,8,11,19,8,9,11,11,13,16,7,15,7,9,13,13,3,6,18,8,1,0,2,7,5,6,7,10,2,3,10,7,12,5,,15,11,21,17,10
strawberry_pink,2,4,6,0,2,1,3,0,8,4,4,4,1,3,9,5,4,1,3,3,0,5,3,1,2,1,2,1,0,0,2,1,2,0,,1,2,3,2,0
strawberry_red,10,15,11,7,12,10,22,25,24,16,12,18,8,16,20,22,15,7,22,23,2,13,11,3,9,8,13,6,5,8,8,7,18,7,,10,5,14,8,6
Yield (g),143,169,199,100,67,144,264,279,398,266,256,356,318,507,258,424,407,166,473,289,84,479,341,421,445,77,517,106,192,194,232,451,394,297,417,278,305,340,156,303
Area,1301226,1383141,1405416,1571661,1751014,1561167,2177713,1453428,1867007,2408139,1326328,1654635,1670250,1794078,2853549,1492638,2141931,1583519,1711563,1792085,1151588,2066717,1282571,1619588,2682084,1490193,1605358,1434420,1216883,1440549,2209413,1848193,1694807,2042917,,1837661,2111028,3287658,1905805,1812272
Depth,1574215,1820530,1759875,2028573,2007253,2038181,2963776,1964901,2582304,3462813,1451214,1978619,1999876,2125372,3368194,2039540,2885186,2160728,2385060,2394735,1260309,2372836,1483418,1898060,3169485,1852604,2062198,1809608,1518132,1792956,2575909,2089726,1921773,2402457,,2303186,2745716,4210924,2432382,2126088
Volume,1574215,1820530,1759875,2028573,2007253,2038181,2963776,1964901,2582304,3462813,1451214,1978619,1999876,2125372,3368194,2039540,2885186,2160728,2385060,2394735,1260309,2372836,1483418,1898060,3169485,1852604,2062198,1809608,1518132,1792956,2575909,2089726,1921773,2402457,,2303186,2745716,4210924,2432382,2126088
