,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,0,2,0,0,0,4,0,0,3,5,2,3,3,4,1,3,0,1,1,1,0,0,0,0,4,0,0,0,0,0,3,1,0,3,0,3,3,0,1,0
strawberry_green,11,12,15,8,15,14,12,7,18,18,36,28,18,20,14,22,7,8,33,16,8,14,2,2,9,7,25,4,1,13,9,16,15,6,5,21,18,10,5,9
strawberry_white,4,2,0,1,5,8,8,12,9,12,13,10,5,4,9,7,4,10,7,13,4,4,15,4,10,10,10,3,0,7,16,13,9,8,7,15,12,10,5,10
strawberry_pink,1,3,1,2,2,2,2,5,1,2,3,2,1,4,3,2,2,3,2,2,0,5,0,2,7,2,1,1,0,4,3,3,0,2,0,1,2,3,0,1
strawberry_red,6,5,6,12,8,8,4,9,12,47,16,21,16,21,29,18,5,13,18,24,5,4,4,12,24,11,12,2,1,6,13,12,7,5,7,9,12,5,6,4
Yield (g),192,278,112,238,199,105,224,376,443,814,201,562,211,380,986,284,333,222,655,424,39,341,190,844,555,204,487,113,51,88,316,595,269,405,449,443,663,303,266,366
Area,1164576,1153588,1817692,1800916,1587893,1159351,1786667,1859986,1720700,2762852,2284100,1498275,2169074,2522133,2159551,2264273,1617231,1609125,2134097,2530572,1471900,1792300,2103086,2506991,3286818,1644294,2130344,962332,937658,1522467,2766959,1745978,2194715,2219755,1562180,2167859,2170845,2063245,1547478,2144943
Depth,1522782,1536945,2338553,2315472,2179108,1382994,2229476,2308209,2068772,3405581,3088865,2052314,2929767,3430122,2953527,2895392,2001646,1998477,2658467,3169903,1864444,2292182,2703482,3349503,4434088,1978344,2557511,1125022,1107633,1824445,3401481,2223422,2751879,2624150,1824354,2562598,2566667,2399067,1790785,2552227
Volume,1522782,1536945,2338553,2315472,2179108,1382994,2229476,2308209,2068772,3405581,3088865,2052314,2929767,3430122,2953527,2895392,2001646,1998477,2658467,3169903,1864444,2292182,2703482,3349503,4434088,1978344,2557511,1125022,1107633,1824445,3401481,2223422,2751879,2624150,1824354,2562598,2566667,2399067,1790785,2552227
