,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,1,3,5,3,0,2,1,2,2,7,2,4,7,1,1,4,2,2,4,2,2,0,2,1,0,2,0,0,1,1,1,2,0,0,0,1,3,1,1,0
strawberry_green,26,72,32,49,55,40,27,31,50,44,51,56,46,56,41,89,54,52,46,55,47,53,43,32,54,36,43,27,22,24,38,59,36,38,44,42,40,38,87,48
strawberry_white,5,10,4,8,8,7,2,9,6,10,15,6,2,9,7,9,23,7,5,5,5,9,17,3,1,2,11,5,3,2,9,9,1,6,7,9,6,5,10,12
strawberry_pink,1,2,0,4,2,1,3,6,0,2,4,5,3,0,0,2,6,5,2,0,1,1,1,2,1,0,0,2,0,0,3,1,1,3,2,1,1,0,1,4
strawberry_red,5,12,5,3,17,5,7,8,6,7,7,5,5,7,8,15,14,10,10,4,2,11,8,4,2,2,6,4,5,5,0,5,6,9,4,2,2,3,15,9
Yield (g),19,50,55,36,121,68,136,55,48,51,134,47,38,92,34,65,150,147,98,7,5,71,107,32,34,38,102,26,18,9,28,5,24,48,2,17,26,7,47,29
Area,178322,282724,242687,288790,285776,370099,315489,386490,287345,294109,450493,368533,277656,265815,367090,345862,372216,298131,237594,219464,231572,400623,389857,154589,233714,426754,363451,275160,192637,194017,357824,315465,223250,436985,252263,336207,316579,214565,537332,332633
Depth,221696,358167,288469,359947,362341,518997,419667,521292,377611,423651,634067,501221,379012,366252,528376,478869,467044,369317,327325,289556,292542,510325,508913,196309,293291,578470,448447,368470,238365,236546,470821,407799,284995,586213,308412,419277,420190,266097,693467,378529
Volume,221696,358167,288469,359947,362341,518997,419667,521292,377611,423651,634067,501221,379012,366252,528376,478869,467044,369317,327325,289556,292542,510325,508913,196309,293291,578470,448447,368470,238365,236546,470821,407799,284995,586213,308412,419277,420190,266097,693467,378529
