,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,6,14,10,9,4,4,0,1,2,6,11,18,4,13,14,1,4,2,3,1,1,10,6,3,6,1,2,0,1,1,2,3,3,2,4,3,2,2,1,0
strawberry_green,26,31,38,41,39,46,12,39,30,58,18,32,19,19,27,16,31,41,36,22,12,35,22,17,28,33,35,23,20,14,67,48,32,30,19,54,50,29,58,31
strawberry_white,9,11,7,6,11,13,0,7,4,9,5,9,2,10,3,5,1,9,11,7,2,5,7,14,16,11,3,4,3,10,25,24,17,5,9,25,15,18,25,9
strawberry_pink,2,4,5,4,4,4,0,4,7,7,1,9,2,2,4,0,2,4,0,4,0,1,0,1,0,4,3,3,2,3,1,6,0,0,1,3,11,0,0,4
strawberry_red,14,23,24,32,15,14,10,21,44,28,23,31,16,29,24,26,17,14,33,19,4,10,2,8,13,3,10,8,4,2,11,12,9,2,7,25,17,6,16,11
Yield (g),128,402,253,359,165,300,430,468,659,616,673,471,352,636,275,485,283,299,490,233,176,617,305,566,502,242,272,151,157,114,283,461,390,236,530,568,474,426,299,339
Area,1117411,1619015,1312331,1289002,1410026,1118348,1526140,1148459,1806644,2020896,1291962,1928425,1906021,1796746,2139222,2006164,1451246,1480356,1433175,1308444,567390,1536841,1858698,1631926,2221837,1186437,1342482,792800,1062199,1149520,2062512,1690377,1687897,1464199,1722480,1640232,2102125,1759679,1336988,1919298
Depth,1234958,1820198,1400494,1430691,1489303,1406586,2068477,1544615,2357032,2777401,1332948,2137282,2074641,1962989,2282344,2611304,1616676,2028143,1922969,1704815,613527,1825671,2184032,1877000,2686361,1433723,1628226,964207,1294260,1440969,2519892,2058356,1955451,1673806,1966304,2055877,2731575,2187584,1688720,2385847
Volume,1234958,1820198,1400494,1430691,1489303,1406586,2068477,1544615,2357032,2777401,1332948,2137282,2074641,1962989,2282344,2611304,1616676,2028143,1922969,1704815,613527,1825671,2184032,1877000,2686361,1433723,1628226,964207,1294260,1440969,2519892,2058356,1955451,1673806,1966304,2055877,2731575,2187584,1688720,2385847
