,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,1,0,2,0,1,1,1,1,1,1,0,0,0,0,0,2,0,0,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
strawberry_green,7,34,3,6,17,14,16,16,14,9,21,12,15,16,28,27,32,32,15,8,2,12,10,8,10,7,7,10,11,9,24,15,8,8,25,17,17,4,17,14
strawberry_white,0,8,0,1,5,2,1,0,2,3,1,1,3,2,2,3,10,7,3,0,0,2,4,1,3,0,3,1,0,0,3,5,1,7,1,5,2,1,1,2
strawberry_pink,0,1,2,2,1,1,0,0,0,0,0,1,1,0,0,3,1,1,0,0,0,1,1,1,0,1,3,0,1,2,3,0,0,2,0,1,0,1,0,0
strawberry_red,0,5,3,1,4,3,0,4,2,0,3,1,0,0,6,4,22,20,6,2,0,0,4,2,2,4,2,3,0,0,10,7,10,4,7,6,1,0,2,4
Yield (g),0,45,7,15,37,0,7,183,36,48,44,13,38,33,49,46,120,175,45,40,26,66,111,47,33,78,135,73,6,0,145,45,46,98,32,101,83,53,21,76
Area,119050,282893,199683,215693,245061,316701,264297,307570,326918,267373,292698,168706,182223,318442,216355,222201,342271,419186,252922,191376,194147,336307,297005,134878,204032,280175,296234,282297,145957,152745,309444,261399,258678,267063,292378,333276,239426,201328,289380,220329
Depth,142465,343691,241055,260389,304519,416175,334038,386003,422324,350800,357239,203053,227685,406827,279777,285536,411185,509835,318474,259595,234720,408618,372178,168464,249568,360104,358093,345436,185834,184927,400139,330152,341936,349299,386293,399253,303942,254171,374321,255686
Volume,142465,343691,241055,260389,304519,416175,334038,386003,422324,350800,357239,203053,227685,406827,279777,285536,411185,509835,318474,259595,234720,408618,372178,168464,249568,360104,358093,345436,185834,184927,400139,330152,341936,349299,386293,399253,303942,254171,374321,255686
