,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,2,8,4,1,6,13,2,1,3,6,10,7,8,2,8,8,4,9,0,6,1,0,4,1,2,1,5,0,0,2,4,2,4,6,0,2,9,1,1,9
strawberry_green,14,7,10,10,21,17,12,18,13,16,22,17,18,8,25,22,13,19,15,9,5,8,3,20,15,8,19,15,6,16,13,18,8,2,4,14,33,9,10,16
strawberry_white,1,0,1,0,4,3,8,3,6,4,4,2,3,2,4,4,1,2,2,3,4,5,1,1,7,1,3,2,1,1,4,1,5,1,0,2,5,0,0,1
strawberry_pink,4,1,2,0,2,0,1,2,3,0,1,0,1,5,3,1,0,0,1,1,4,1,1,4,7,1,3,0,8,3,0,6,0,0,2,0,3,4,0,0
strawberry_red,9,6,3,2,9,3,7,12,12,4,10,11,6,9,7,5,10,16,3,4,3,6,4,10,9,5,5,2,9,6,2,11,0,5,0,3,5,4,0,4
Yield (g),84,168,92,48,111,6,97,123,69,47,43,312,144,218,108,78,114,243,48,113,92,148,223,156,124,120,11,87,106,5,47,86,112,164,113,0,138,45,7,154
Area,1485317,2246262,1612586,1650347,1815343,1332583,2307485,1951279,2601016,1047240,1935791,1891913,1811113,1666247,2809389,2449690,2039544,1656132,1533992,1723326,933485,1729863,1971739,1886957,2151987,1393556,2063732,1111792,1070731,1758896,1762482,2089560,1781377,2475307,1873639,1759416,3015812,1458183,1472602,1651125
Depth,1814427,2796545,1956835,2029757,2271639,1586828,2831933,2354619,3133722,1252123,2307320,2265934,2096432,1925358,3564360,2988987,2437573,2060072,1905513,2123484,1127367,2075031,2330008,2425922,2654949,1627549,2561521,1316699,1267893,2140634,2130835,2436805,2125256,2974668,2242891,2090375,3574247,1796975,1781971,2024686
Volume,1814427,2796545,1956835,2029757,2271639,1586828,2831933,2354619,3133722,1252123,2307320,2265934,2096432,1925358,3564360,2988987,2437573,2060072,1905513,2123484,1127367,2075031,2330008,2425922,2654949,1627549,2561521,1316699,1267893,2140634,2130835,2436805,2125256,2974668,2242891,2090375,3574247,1796975,1781971,2024686
