Counting,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55,
FL,2,7,8,4,2,3,9,4,11,6,8,7,6,3,4,6,5,6,7,4,5,9,10,15,21,7,10,6,12,13,2,4,5,5,4,3,5,4,3,4,FL
G,24,63,37,43,70,34,24,28,25,30,58,31,37,45,35,9,4,8,11,15,6,9,7,26,26,34,32,40,18,19,27,36,47,50,39,49,38,41,42,39,G
W,3,6,4,2,4,9,9,6,13,14,12,4,3,15,5,50,47,60,36,35,42,49,48,21,33,19,26,13,18,24,27,20,14,17,8,29,27,13,18,23,W
P,1,7,2,3,2,2,6,5,3,6,3,4,2,4,1,8,6,8,3,3,2,5,5,4,2,0,1,5,3,1,6,5,2,7,4,3,4,4,3,8,P
R,3,5,4,4,13,5,9,6,6,5,10,6,4,6,5,6,9,16,12,3,1,8,9,3,8,5,10,2,7,3,3,1,6,7,1,4,3,2,5,4,R
Yield (g),19,50,55,36,121,68,136,55,48,51,134,47,38,92,34,65,150,147,98,7,5,71,107,32,34,38,102,26,18,9,28,5,24,48,2,17,26,7,47,29,
