Counting,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55,
FL,0,2,0,1,2,0,3,3,2,2,4,3,1,2,2,0,5,7,1,2,1,1,4,2,2,0,2,1,0,0,2,3,1,3,0,0,1,0,0,1,FL
G,5,6,5,8,4,0,5,2,1,2,4,4,2,4,3,3,4,2,6,11,7,6,21,9,9,15,10,9,5,5,11,19,10,6,6,5,9,5,2,6,G
W,1,1,2,0,0,0,0,4,8,1,1,3,0,4,0,0,1,1,1,1,3,6,4,4,4,1,5,4,1,1,1,2,0,2,2,1,0,0,0,0,W
P,0,0,0,2,1,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,1,3,2,1,1,3,1,1,1,1,0,3,4,2,1,3,1,5,0,3,P
R,5,3,10,5,3,7,7,5,15,4,0,5,8,9,1,7,2,8,4,8,14,7,5,3,14,5,3,7,8,5,2,7,15,6,5,1,7,6,1,0,R
Yield (g),27,11,47,31,15,11,35,31,75,14,0,29,22,33,1,23,4,10,14,26,76,24,27,35,42,30,30,63,55,41,8,63,91,52,32,2,28,50,2,0,
