,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawberry_green,1,8,2,7,2,1,3,5,1,4,2,7,0,4,2,1,3,8,5,5,7,6,12,3,6,9,9,5,8,1,9,10,1,3,4,9,8,1,4,4
strawberry_white,0,1,0,1,1,2,2,0,0,0,0,3,0,1,1,0,0,2,1,0,2,0,2,1,1,2,1,1,0,0,2,1,0,1,0,0,0,1,0,1
strawberry_pink,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,0,3,6,0,1,0,0,0,0,1,0,0,0,3,0,0
strawberry_red,0,0,1,0,1,0,0,1,0,0,2,3,0,2,0,6,1,1,0,4,2,1,0,0,2,2,3,1,0,7,0,3,1,4,0,2,0,0,0,0
Yield (g),0,0,0,0,0,0,0,0,9,0,0,16,3,0,0,0,10,15,20,0,28,34,43,25,23,34,21,13,11,0,0,0,14,32,12,3,0,51,0,0
Area,88391,171859,159914,165724,246232,184373,247850,196009,313222,197125,115857,199834,80778,137616,236338,119536,267808,240365,209124,206307,208134,223513,208608,144797,221319,213267,202678,179104,170660,163718,135308,148327,166466,328674,195859,254875,175760,279758,199693,201903
Depth,104676,190795,185623,188480,304692,216331,303443,231905,365496,231249,134995,255071,102904,178088,305201,159728,348098,297720,274325,241684,246356,253354,237397,169641,272066,269640,223190,189027,202852,196614,188391,207217,236887,434951,258066,306737,225636,365141,240884,258461
Volume,104676,190795,185623,188480,304692,216331,303443,231905,365496,231249,134995,255071,102904,178088,305201,159728,348098,297720,274325,241684,246356,253354,237397,169641,272066,269640,223190,189027,202852,196614,188391,207217,236887,434951,258066,306737,225636,365141,240884,258461
