,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
strawberry_green,3,1,5,1,6,1,2,4,3,6,1,2,1,2,4,4,4,2,2,5,3,2,12,4,2,1,12,4,3,2,10,3,3,2,0,1,8,1,0,2
strawberry_white,1,2,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1,1,1,0,4,1,0,5,6,2,1,0,0,2,0,2,1,1,2,1,0,1
strawberry_pink,1,0,2,2,0,0,1,0,3,2,0,2,0,2,0,2,0,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2,0,0,1,0,0
strawberry_red,3,2,15,2,5,1,4,3,1,0,0,2,4,9,0,9,0,0,7,4,9,3,2,1,1,4,4,4,4,4,2,5,10,4,1,1,2,2,2,0
Yield (g),27,11,47,31,15,11,35,31,75,14,0,29,22,33,1,23,4,10,14,26,76,24,27,35,42,30,30,63,55,41,8,63,91,52,32,2,28,50,2,0
Area,134477,106466,232853,148111,257351,204519,174361,214192,236697,174927,130598,136309,123412,185900,174417,170171,313115,330248,216917,237160,133455,280290,222543,249334,158348,172367,179325,133924,150963,125770,149607,101660,154692,236749,121222,178490,184420,209460,252352,187817
Depth,165366,130434,320032,181303,328185,264938,242032,285550,326519,251821,156761,182826,185602,260121,251876,254422,397891,477407,299791,332335,163177,358031,293829,340922,205179,241743,222023,170665,189900,167270,211239,144555,214067,330183,166207,237719,253704,275246,324507,234183
Volume,165366,130434,320032,181303,328185,264938,242032,285550,326519,251821,156761,182826,185602,260121,251876,254422,397891,477407,299791,332335,163177,358031,293829,340922,205179,241743,222023,170665,189900,167270,211239,144555,214067,330183,166207,237719,253704,275246,324507,234183
