,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
strawberry_flower,2,10,3,6,5,1,2,3,4,13,3,9,6,1,5,7,10,1,8,18,1,3,1,1,1,3,6,2,3,3,7,5,1,7,4,9,5,1,7,3
strawberry_green,14,23,17,12,18,23,22,18,36,32,34,29,27,9,14,36,14,26,12,14,5,26,22,14,18,28,46,9,6,14,23,20,24,23,12,35,32,31,24,40
strawberry_white,3,3,7,3,14,8,4,8,4,22,4,17,13,1,4,18,11,12,11,18,4,10,8,9,23,9,15,6,4,10,6,8,10,10,3,12,15,4,6,1
strawberry_pink,0,2,1,4,6,1,3,5,6,8,5,4,1,0,4,4,3,0,3,2,1,0,0,1,2,1,0,2,2,0,0,0,0,0,0,4,3,2,0,0
strawberry_red,4,5,7,2,7,1,3,3,12,4,4,3,6,2,9,4,4,6,2,0,3,4,2,9,12,0,5,3,2,5,2,1,2,2,2,3,3,1,7,3
Yield (g),22,38,39,33,61,0,57,99,127,57,26,184,76,26,113,71,90,68,73,40,48,98,30,201,110,40,47,56,33,53,45,31,28,93,35,173,218,34,116,46
Area,1461191,2031794,1464854,1976058,2080340,1147547,2144608,1882756,2155452,3398859,1857036,2449341,2172776,1331857,2493014,2267515,2332854,1670204,1694943,2467571,1353902,3257167,3282222,2411181,2929539,1588240,2727361,1459433,1575469,1874982,2502748,1932465,2056244,3081605,2847955,2831025,2507065,2130183,2023885,3044367
Depth,1870595,2652563,1853038,2604767,2689427,1430744,2776582,2375370,2727257,4538543,2386267,3198508,2894598,1752271,3383726,3101045,2983013,2094648,2121306,3151725,1705535,4165859,4179304,3128538,3838075,1997874,3455003,1801531,1937455,2368299,3161310,2428217,2576101,3913718,3593140,3563332,3211732,2738520,2547629,3782451
Volume,1870595,2652563,1853038,2604767,2689427,1430744,2776582,2375370,2727257,4538543,2386267,3198508,2894598,1752271,3383726,3101045,2983013,2094648,2121306,3151725,1705535,4165859,4179304,3128538,3838075,1997874,3455003,1801531,1937455,2368299,3161310,2428217,2576101,3913718,3593140,3563332,3211732,2738520,2547629,3782451
