,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,2,5,2,0,1,0,3,1,0,1,0,0,3,2,2,2,4,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
strawberry_green,8,10,5,19,10,14,8,25,9,16,18,21,16,23,13,29,35,18,17,16,6,10,9,4,1,5,11,9,11,7,8,19,6,4,10,18,2,11,13,3
strawberry_white,0,4,0,2,3,0,1,3,3,0,3,1,2,1,1,6,6,3,5,0,0,1,2,0,0,3,2,2,1,1,3,4,2,3,3,6,0,1,8,0
strawberry_pink,0,1,0,0,2,0,2,0,0,1,1,3,1,0,0,1,6,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0
strawberry_red,1,5,2,3,3,2,1,0,1,0,0,6,3,4,2,2,12,8,1,0,1,3,2,2,1,2,2,1,0,1,1,1,0,2,0,4,0,1,2,0
Yield (g),8,72,0,14,17,21,34,25,40,0,40,39,39,23,10,0,51,41,9,0,13,83,31,19,45,43,55,48,0,15,24,0,29,40,24,35,19,27,40,26
Area,109304,201954,215984,227698,216966,179477,203950,331617,320433,198717,367556,271281,192684,299790,301337,237611,384480,357056,205413,226636,187907,309656,271949,167518,182139,221559,277775,266464,166211,134792,204149,226758,130652,204445,193606,253623,242122,233426,301983,202164
Depth,119026,227671,237378,247812,236204,207104,230973,377723,361486,225520,419243,296613,226713,368581,379345,291680,435132,409352,245272,275847,212047,353693,331076,179320,195545,255772,290981,296513,198640,150925,238950,259067,151672,232118,218624,293614,283891,271488,346159,213613
Volume,119026,227671,237378,247812,236204,207104,230973,377723,361486,225520,419243,296613,226713,368581,379345,291680,435132,409352,245272,275847,212047,353693,331076,179320,195545,255772,290981,296513,198640,150925,238950,259067,151672,232118,218624,293614,283891,271488,346159,213613
