,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,1,4,3,2,1,2,3,2,8,5,4,10,3,5,1,14,11,12,3,8,8,5,2,2,1,0,3,7,2,1,6,6,7,5,1,7,8,5,5,8
strawberry_green,2,18,8,9,30,10,11,9,14,17,12,21,16,12,16,22,24,65,25,27,5,10,13,12,25,14,21,8,7,3,25,11,5,27,19,24,10,17,22,19
strawberry_white,0,0,0,1,2,4,3,1,2,1,2,3,1,1,0,0,7,10,3,4,1,0,3,0,0,2,0,1,0,0,12,2,1,2,3,2,0,0,1,4
strawberry_pink,0,0,0,0,2,0,1,1,2,1,0,2,0,3,1,1,3,6,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,3,0,3,0,1,1,1
strawberry_red,0,2,0,1,3,3,2,0,6,0,2,1,1,2,5,0,14,12,0,2,0,1,6,2,3,0,4,0,2,0,6,9,0,2,0,7,1,4,1,1
Yield (g),2,19,10,19,65,26,33,30,45,0,0,22,0,12,31,0,89,28,0,0,0,19,89,34,10,7,83,0,9,0,57,41,0,0,5,53,53,22,3,24
Area,144918,174015,230612,156404,227521,425237,403384,285203,386905,204195,205731,215747,189781,173060,164797,234758,345689,404438,256472,286729,201037,239143,238757,110408,195651,329653,304948,193240,149959,173893,295183,323372,286379,337974,218503,350417,228408,342916,235410,231103
Depth,200292,234805,312158,201780,297801,604420,555960,387037,530720,283222,291032,296644,265008,245375,235039,346420,486325,586738,368930,420484,277612,328725,335694,146164,264086,484207,414449,273190,210686,224074,436488,477452,436240,485589,294148,467214,328155,470063,326758,292791
Volume,200292,234805,312158,201780,297801,604420,555960,387037,530720,283222,291032,296644,265008,245375,235039,346420,486325,586738,368930,420484,277612,328725,335694,146164,264086,484207,414449,273190,210686,224074,436488,477452,436240,485589,294148,467214,328155,470063,326758,292791
