,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
strawberry_green,5,0,9,1,2,1,3,3,3,6,7,1,1,1,4,3,10,11,4,3,1,5,5,3,3,0,2,1,0,16,2,2,1,4,1,3,1,1,0,3
strawberry_white,0,0,1,0,1,1,0,0,2,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0
strawberry_pink,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
strawberry_red,0,0,1,0,2,0,0,7,0,0,0,2,1,0,0,0,0,0,5,0,1,0,2,0,0,0,1,1,2,1,1,1,2,3,0,0,0,6,0,0
Yield (g),8,3,14,5,11,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,3,7,0,15,10,0,8,0,0,0,0,0,0,0,0,0,0
Area,57540,141570,220842,163186,239694,174942,135581,232130,252312,153608,253703,106948,81877,134354,66474,132871,294266,212159,165594,226640,181744,307458,220673,175539,185774,198970,200199,215694,125626,212103,141546,123335,189280,260765,128636,266131,211589,283947,186997,209186
Depth,67947,176588,296548,197925,302648,194837,148485,268843,284892,175638,286295,118304,92039,156088,75801,148368,341034,247098,192036,257322,219377,389352,276253,217735,202439,220437,212730,247795,139869,251065,169386,143255,218551,325292,151908,318421,252440,351716,231762,253766
Volume,67947,176588,296548,197925,302648,194837,148485,268843,284892,175638,286295,118304,92039,156088,75801,148368,341034,247098,192036,257322,219377,389352,276253,217735,202439,220437,212730,247795,139869,251065,169386,143255,218551,325292,151908,318421,252440,351716,231762,253766
