,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawberry_green,1,1,0,1,4,2,2,0,2,1,10,5,3,3,16,11,11,22,2,3,4,3,7,0,4,4,1,2,4,3,18,12,0,5,1,8,2,2,4,1
strawberry_white,0,0,0,1,4,1,0,3,3,1,4,0,0,0,1,0,2,0,0,0,0,0,2,1,2,1,1,0,0,0,2,2,1,0,0,8,1,0,1,1
strawberry_pink,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
strawberry_red,0,3,0,2,0,0,3,4,5,1,0,3,0,1,2,0,0,0,0,0,0,0,5,1,4,1,0,4,2,0,0,0,0,1,1,2,0,0,1,0
Yield (g),0,18,17,23,0,0,43,21,73,33,0,12,0,9,0,0,0,0,0,0,0,33,86,10,41,13,0,19,14,0,4,0,0,0,0,18,0,0,0,0
Area,101042,187591,221651,129855,236427,169711,166209,212854,243090,176454,251351,171794,130469,168272,198259,171255,334765,311677,136302,268356,119861,235289,198571,107782,197148,250354,257925,172714,93951,239569,168227,158696,144990,227288,143344,312258,278424,256196,188690,195842
Depth,110777,204430,254095,150928,263972,206669,204510,253148,283716,209491,279969,207706,160558,194287,279709,230556,371536,378870,169429,330459,132597,265781,234373,114431,218659,314291,286558,194029,112572,305336,209416,203750,178182,269789,167631,355470,326179,312608,232832,222544
Volume,110777,204430,254095,150928,263972,206669,204510,253148,283716,209491,279969,207706,160558,194287,279709,230556,371536,378870,169429,330459,132597,265781,234373,114431,218659,314291,286558,194029,112572,305336,209416,203750,178182,269789,167631,355470,326179,312608,232832,222544
