,b11,b12,b13,b14,b15,b21,b22,b23,b24,b25,b41,b42,b43,b44,b45,b51,b52,b53,b54,b55,m11,m12,m13,m14,m15,m21,m22,m23,m24,m25,m41,m42,m43,m44,m45,m51,m52,m53,m54,m55
strawberry_flower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
strawberry_green,3,4,2,0,2,1,3,3,2,2,5,5,0,8,7,1,2,8,4,4,0,1,12,0,3,1,6,6,0,2,14,5,2,5,2,2,3,1,4,2
strawberry_white,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
strawberry_pink,0,0,1,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
strawberry_red,0,1,0,0,0,0,2,4,2,0,0,0,1,2,0,0,0,2,3,0,0,1,3,3,0,0,0,2,0,0,0,0,1,2,1,1,0,0,1,1
Yield (g),N/A,5,5,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0
Area,82940,266533,180958,136401,154088,229231,246934,196301,218261,99553,209938,135346,165735,149412,108596,116407,285083,273490,249833,214243,132519,291429,210445,151284,111259,138549,250873,180904,126067,106429,140006,130144,230196,282575,177796,203434,222639,307029,171043,160725
Depth,99652,321187,218494,166981,214302,307526,304449,240451,277494,126554,258675,172028,189990,195052,138032,148849,352544,337585,317138,245600,161476,378116,268639,190906,137325,180536,307067,231623,148953,142237,173963,174933,288205,373784,234820,225716,259335,395418,204181,177908
Volume,99652,321187,218494,166981,214302,307526,304449,240451,277494,126554,258675,172028,189990,195052,138032,148849,352544,337585,317138,245600,161476,378116,268639,190906,137325,180536,307067,231623,148953,142237,173963,174933,288205,373784,234820,225716,259335,395418,204181,177908
